text,url,category,region
"Abdirizaq Tahlil Nisa 98% waxaa waaye ciyaal school secondary iyo jaamacado kusoo wareeray kuna soo fashilmay aaqirna doorbiday ciidannimo eeysan aqoon u leheen ileen albaab kale uma furnee, wexee ka simanyihiin dhamaantood ineey qabaan Psychotic mental, qaarkoodna xitaa subax iyo galab makala yaqaanaan drugs see iskugu wadeen umada wee dhibeen allaha ka qabto. 4d Like Reply See translation Edited 177",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Turaabi Caylaawe Iga tag in axmed madoobe laso qabtaa maleeyee 4d Like Reply See translation 33,https://www.facebook.com/MunasarMohamedAbd/posts/pfbid02JLv17shcPJ1eF14k9Chra5d9M6XtQ8zeUWPbyadJZNbbW8WbD9pveKTAea4Mr2bVl,not crime-related,Unknown
Bashiir Mahamud Runtii hadii uu gudomiye mungaab tan ku dhaqaaqo waxeey u gali doontaa qaluubta dadweynaha g banaadir midka hada jooga iyo kan… See more 5d Like Reply See translation 43,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Daahir M X Cariif Bashiir Mahamud ogaw Guri Kasta Ee Labada Dhinac Ah 1 _____ 10 Waxaa Laga Qaadaa Lacag 3000$ Ilaa 300 $ Ah Sida Tan Jamhuuriya 4d Like Reply See translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Abdiqani Faarax Who is next kismayo or Garowe 6d Like Reply 37,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Puntland
"Director General of National Intelligence and Security Agency (NISA), Mr. Mahad Mohamed Salaad, had important … See more · See original · Rate this translation",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
"Director General of National Intelligence and Security Agency (NISA), Mr. Mahad Mohamed Salaad, had important … See more",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Waxan u jeedna askari la kulmay taliyahiisa ka sareeyay ileen madaxweynaha America wuxuu Somalia ka aaminsa yahay No government No Parliament No institutions No police and Military Hddii aan kuu yeelo taada ee ah iskaashiga ah Files ka ay isdhaaf sadeen marka madxaweyne Trump loo geynaayo sidee loogu sheega mawaxaa laleeyhay xogtaan dawlada Somalia ayaan isdhaafsanay mise sirdoonkena soomaalida ayaa nasoo gaarsiiyey ileen Trump horey ayuu u inkiray Somalia ineysan nadaam dowli ah uusan ka jirine.,https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Waxan u jeedna askari la kulmay taliyahiisa ka sareeyay ileen madaxweynaha America wuxuu Somalia ka aaminsa yahay,https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Hddii aan kuu yeelo taada ee ah iskaashiga ah Files ka ay isdhaaf sadeen marka madxaweyne Trump loo geynaayo sidee loogu sheega mawaxaa laleeyhay xogtaan dawlada Somalia ayaan isdhaafsanay mise sirdoonkena soomaalida ayaa nasoo gaarsiiyey ileen Trump horey ayuu u inkiray Somalia ineysan nadaam dowli ah uusan ka jirine.,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Pistols are to protect the people but Nisa these soldiers even this mentally ill man will cheat him.… See more · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Pistols are to protect the people but Nisa these soldiers even this mentally ill man will cheat him.… See more,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
"Nisa 98% waxaa waaye ciyaal school secondary iyo jaamacado kusoo wareeray kuna soo fashilmay aaqirna doorbiday ciidannimo eeysan aqoon u leheen ileen albaab kale uma furnee, wexee ka simanyihiin dhamaantood ineey qabaan Psychotic mental, qaarkoodna xitaa subax iyo galab makala yaqaanaan drugs see iskugu wadeen umada wee dhibeen allaha ka qabto.",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
I have an important issue that was used to hide from you! I ain't hiding nothing lol. https://onelink.to/payontime · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
I have an important issue that was used to hide from you! I ain't hiding nothing lol. https://onelink.to/payontime,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
I have an important issue that was used to hide from you! I ain't hiding nothing lol.,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
This content isn't available at the moment,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
"When this happens, it's usually because the owner only shared it with a small group of people, changed who can see it, or it's been deleted.",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Iga tag in axmed madoobe laso qabtaa maleeyee,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
"Chairman Muungaab ""We will build the industrial road within this year"" how do you see it? · See original · Rate this translation",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
"Chairman Muungaab ""We will build the industrial road within this year"" how do you see it?",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Runtii hadii uu gudomiye mungaab tan ku dhaqaaqo waxeey u gali doontaa qaluubta dadweynaha g banaadir midka hada jooga iyo kan… See more,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Bashiir Mahamud ogaw Guri Kasta Ee Labada Dhinac Ah 1 _____ 10 Waxaa Laga Qaadaa Lacag 3000$ Ilaa 300 $ Ah Sida Tan Jamhuuriya,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Breaking news:- Civilians are following the warfare in CXD Baidoa. · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,South West
Breaking news:- Civilians are following the warfare in CXD Baidoa.,https://www.facebook.com/MunasarMohamedAbd,not crime-related,South West
Armi Queen No power mamul gobaleed yada waa ineey amarka qataan 6d Like Reply See translation 126,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Abdullahi Sheikh Mohamud Ali Munasar sxb madaxweyne Mohamed Farkeeti waa madaxweynaha dhaarta udhiman. 6d Like Reply See translation Edited 6,https://www.facebook.com/MunasarMohamedAbd/posts/pfbid02TGF3Tut24zkm3RtSa7tJFEmKLpKTsuQcZzgxZr4HJwwgp5YBSJeTTKHYMsNHjqBrl,not crime-related,Unknown
Apdirahmaan Nuur Ahmett Mar hadii ay shacab kaga kaa soo jor jeestan cid ku bad baadi karto malahan 6d Like Reply See translation 58,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Baydhabo lagama jeclayn Lafta Gareen . Dadkii ugu badnaa oo isku soo baxey.,https://www.facebook.com/MunasarMohamedAbd,not crime-related,South West
No power mamul gobaleed yada waa ineey amarka qataan,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Today is a historic day that the people of KGS and the whole of Somalia came back. We are sending our heartfel… See more · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Today is a historic day that the people of KGS and the whole of Somalia came back. We are sending our heartfel… See more,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
"Maanta waa maalin taariikhi ah oo shacabka KGS iyo guud ahaan Soomaaliya u soo hoyatay. Waxaan hambalyo kal iyo laab ah u diraynaa shacabka dhabar-adaygga leh ee KGS, kuwaas oo dib u soo dhacsaday mustaqbalkooda, isla markaana soo afjaray rajo beelkii iyo xukunkii baadilka ahaa. Go'aankiinna adag ee aad ku difaacayseen cadaaladda, karaamada, iyo madax-bannaanida KGS, InshaAllah wuxuu albaabka u furaya bog cusub iyo mustaqbal ifaya. Iyadoo aan soo dhoweynayno isbeddelkan iyo bixitaanka maamulkii hore, haddana waa inaan xusuusnaannaa in guusheena ku jirto inaan dhowrno nabadgelyada. Waxaan ugu baaqaynaa dhammaan muwaadiniinta, ciidanka, odayaasha dhaqanka, madaxda bulshada, iyo qaybaha kala duwan ee bulshada rayidka ah inay muujiyaan deganaansho, is-xakameyn, ayna mudnaanta koowaad siiyaan badqabka iyo wanaagga dadkeenna. Indhaha dalka iyo caalamkaba waxay maanta ku soo jeedaan annaga. Waa inaan u muujinaa in shacabka KGS aysan kaliya ahayn dad u istaaga ka hortagga dulmiga, balse ay sidoo kale yihiin hormuudka ilaalinta nabadda, midnimada, iyo xasilloonida. Guul iyo Gobanimo. W/Q Wasiirkii hore maaliyada Musharax Madaxwayne KGS Mohamed adan Farkeeti",https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Munasar sxb madaxweyne Mohamed Farkeeti waa madaxweynaha dhaarta udhiman.,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Lafta Gareen who took his picture with a brush. · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Lafta Gareen who took his picture with a brush.,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Mar hadii ay shacab kaga kaa soo jor jeestan cid ku bad baadi karto malahan,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Top fan Zaki Zr Baydhabo waa xor 8sano kadib Geed Yahuudkii Farmaajo Beeray waala siibay Madaxweene Ninkan Haloo Doorto waa mudanyahy 1w Like Reply See translation 14,https://www.facebook.com/MunasarMohamedAbd,not crime-related,South West
Qamarey Cabdulle Zaki Zr tuugii baa kor kuu saarane adna show tuug kale baad tahay 6d Like Reply See translation,https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Hasaasi · Follow Haybadii qaran waxaa difaacay ciidamada gorgor iyo danab way ka shaafiyeen 1w Like Reply See translation 37,https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
انا صومالي Hasaasi Turki iyo mareykan aya kala wata ciidamadaas waa ciidan shisheeye uu ku adeegto 6d Like Reply See translation 2,https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Minister Eelaay and civilians welcomed warmly. There is a change in sight. · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Minister Eelaay and civilians welcomed warmly. There is a change in sight.,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Baydhabo waa xor 8sano kadib Geed Yahuudkii Farmaajo Beeray waala siibay Madaxweene Ninkan Haloo Doorto waa mudanyahy,https://www.facebook.com/MunasarMohamedAbd,not crime-related,South West
Baydhabo waa xor 8sano kadib Geed Yahuudkii Farmaajo Beeray waala siibay,https://www.facebook.com/MunasarMohamedAbd,not crime-related,South West
Madaxweene Ninkan Haloo Doorto waa mudanyahy,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Zaki Zr tuugii baa kor kuu saarane adna show tuug kale baad tahay,https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Quick and fast. The Somali military has entered Baydhaba. Happy citizens who welcomed them. · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Quick and fast. The Somali military has entered Baydhaba. Happy citizens who welcomed them.,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Haybadii qaran waxaa difaacay ciidamada gorgor iyo danab way ka shaafiyeen,https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Hasaasi Turki iyo mareykan aya kala wata ciidamadaas waa ciidan shisheeye uu ku adeegto,https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Turki iyo mareykan aya kala wata ciidamadaas waa ciidan shisheeye uu ku adeegto,https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Breaking news: A soldier from Lafta Gareen army who disappeared from the road when the thunder was firing bull… See more · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Breaking news: A soldier from Lafta Gareen army who disappeared from the road when the thunder was firing bull… See more,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Top fan Haarun Zahid After raaskambooni another elclassico bu xassan shekh dalbday 1w Like Reply 20,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Maryan Maanka Munasar cade qate waxa tahay qurun qarsana waxa shegesane xafadada gey iyo kuwa ku lalushay guul laftagareen guul kgs 1w Like Reply See translation 3,https://www.facebook.com/MunasarMohamedAbd/posts/pfbid0upm8my555okELC3fgXiu7YDUb5xPkvTVgM9sSsbHtm5ZrdwkeqcUt46yypC6HQu5l,not crime-related,Unknown
Gacal Abdi I'm sure he's from Uganda Who's the brother of Israel 1w Like Reply 111,https://www.facebook.com/MunasarMohamedAbd/posts/pfbid0X4jrFZEFihqgEPGjSKbyjW5Z3EThhZ5AFejj9zfSt97uqCgf18XYRXvUsE5ajndAl,not crime-related,Unknown
Bint Haji Alley Gacal Abdi this is the fact 1w Like Reply 2,https://www.facebook.com/MunasarMohamedAbd/posts/pfbid0X4jrFZEFihqgEPGjSKbyjW5Z3EThhZ5AFejj9zfSt97uqCgf18XYRXvUsE5ajndAl,not crime-related,Unknown
Breaking news: Minister Jaamac threatened that he will be taken over by South West and called for Lafta Gareen to surrender. · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Breaking news: Minister Jaamac threatened that he will be taken over by South West and called for Lafta Gareen to surrender.,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
After raaskambooni another elclassico bu xassan shekh dalbday,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
"I strongly condemn the so called ""KGS election"" that Laftagareen has been held today. To be appointed as parli… See more · See original · Rate this translation",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
"I strongly condemn the so called ""KGS election"" that Laftagareen has been held today. To be appointed as parli… See more",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
"Waxaan si adag u cambaareynayaa waxa loogu yeeray “doorashada KGS’ ee uu maanta soo dhodhoobay Laftagareen. In saacado gudahood lagu soo magacaabo xildhibaano, lagu doorto Guddoomiye, laguna caleemo-saaro qof loogu yeero madaxweyne waa weerar toos ah oo lagu qaaday nidaamka dastuuriga ah ee KGS. Hannaanka maanta la soo maleegay ma laha wax sharciyad ah, ha noqoto mid dastuuri ah ama mid dhaqan. Odayaashii dhaqanka ee rasmiga ahaa, ee ahaa kuwa iska leh go'aanka geedi-socodka doorashada, ayaa si ula kac ah looga reebay. Magacaabista xildhibaannada waa mid baal-marsan dastuurka, taas oo ka dhigaysa baarlamaan kasta oo halkaas ka dhasha mid aan sharci ahayn. Doorashadan boobka ah oo degdegga noocan ahi wuxuu ka tarjumayaa quus laga qabo sii haynta awoodda. Natiijo kasta oo ka dhalata degdegga noocan ah waa mid sharci-darro ah, mana noqon doonto mid la aqoonsado ama hirgasho. KGS waxay wajahaysaa abaaro, amni-darro, iyo baahiyo bini'aadanimo oo sii kordhaya. Halkii laga xallin lahaa dhibaatooyinkaas, maamulku muddo dhaafka wuxuu abuurayaa fawdo siyaasadeed, iska horimaad, waxayna sii dheeraynaysaa dhibaatada dadka. Cawaaqib xumada arrintan ka dhalato waxaa mas'uuliyadeeda qaadaya Laftagareen iyo intii ku taageertay. Sidoo kale, waa wax laga xumaado ah in siyaasiyiin qaarkood ay ku degdegeen inay u hambalyeeyaan ficiladan foosha xun, iyagoo iska indha-tiray mas'uuliyadda ka saaran ilaalinta dastuurka iyo sugidda xasilloonida dalka. Waxaan ugu baaqayaa shacabka Soomaaliyeed iyo saaxiibada caalamiga ah inay diidaan tillaabadan lagu carqaladeynayo xasilloonida dalka, ayna garab istaagaan shacabka KGS si loo difaaco loona ilaaliyo ku dhaqanka dastuuriga. W/Q Wasiirkii hore maaliyada Musharax Madaxwayne KGS Mohamed adan Farkeeti",https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Munasar cade qate waxa tahay qurun qarsana waxa shegesane xafadada gey iyo kuwa ku lalushay guul laftagareen guul kgs,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Inside the airport and a foreign soldier taking EVC by force. If they don't give them the way these people won't cross the road. · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Inside the airport and a foreign soldier taking EVC by force. If they don't give them the way these people won't cross the road.,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
I'm sure he's from Uganda Who's the brother of Israel,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Swearing in the name of Allah & a judgement that is not justly received. · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Swearing in the name of Allah & a judgement that is not justly received.,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
machadka nuurul cilmi online Machadka Nuurul Cilmi Online Ku baro Culuumta Shareecada adiga & carruurtaada qaab fudud xifdinta quranka iyo tajwiidkiiisa hingaada iyo kiciska Tafsiirka Qur’aanka Kariimka Axaadiista Nabiga (SCW) • Fiqi • Siirada Nabiga (SCW) • Ducooyin Culumo takhasus leh Habeen & Maalin wa.me/252615406315 Bilow maanta! 1w Like Reply See translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Apdalla Shariif Isxaaq Baidoa muu aadi rabey 1w Like Reply 6,https://www.facebook.com/MunasarMohamedAbd,not crime-related,South West
Dahir Xasan Cuqbadiii dadka maskiina kudahcady 1w Like Reply See translation 47,https://www.facebook.com/MunasarMohamedAbd/posts/pfbid0UdkPcgE7McUSMutqbHAHJPgNn8dhLDB5pNipKMntht5eBRGChbmpR6PMBKVsqnB5l,not crime-related,Unknown
Cabdulaahi Ismaaciil Gurgurte bay 1w Like Reply See translation,https://www.facebook.com/MunasarMohamedAbd/posts/pfbid0UdkPcgE7McUSMutqbHAHJPgNn8dhLDB5pNipKMntht5eBRGChbmpR6PMBKVsqnB5l,not crime-related,Unknown
Abdi Aziiz Mohamed Soomaaliya waxay u baahan tahay badbaado degdeg ah. Waa lagama maarmaan in laga badbaadiyo xasan sheekh & koox Diisa caaday sa… See more 1w Like Reply See translation 14,https://www.facebook.com/MunasarMohamedAbd/posts/pfbid0bB9MUkBAWdN39RthdAKn349JHZFuBG4Q4c5Vm5eJYtSHVkkpiLjjXyzc95Yruh1Rl,not crime-related,Unknown
"Patience Births: These mothers after many years of hope and perseverance, today they got their dreams of motherhood. · See original · Rate this translation",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
"Patience Births: These mothers after many years of hope and perseverance, today they got their dreams of motherhood.",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Machadka Nuurul Cilmi Online Ku baro Culuumta Shareecada adiga & carruurtaada qaab fudud xifdinta quranka iyo tajwiidkiiisa hingaada iyo kiciska Tafsiirka Qur’aanka Kariimka Axaadiista Nabiga (SCW) • Fiqi • Siirada Nabiga (SCW) • Ducooyin Culumo takhasus leh Habeen & Maalin wa.me/252615406315 Bilow maanta!,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Degdeg: Taliye Shub oo xabsi guri laga dhigey | Qaabka loo weerarey looguna dhex xirey gurigiisa oo yaab leh .,https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Trainkii xukun jeceylka Xasan Sheikh oo laga kala cararay| Odowaagii ugu dambeeyay ayaa ka yaabey birmadihii ee yaa ka… See more,https://www.facebook.com/MunasarMohamedAbd,crime-related,Puntland
"Official: The commander of the army of Mahad ""Shub"" who was also the son-in-law of South West Lafta Gareen has… See more · See original · Rate this translation",https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
"Official: The commander of the army of Mahad ""Shub"" who was also the son-in-law of South West Lafta Gareen has… See more",https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Soomaaliya waxay u baahan tahay badbaado degdeg ah. Waa lagama maarmaan in laga badbaadiyo xasan sheekh & koox Diisa caaday sa… See more,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Wehliye Rooble Samatalis SHATI SANADLE AH $110 CASHUUR BILE AH $10 Merchant No $05 %100 Merchant 3bil $200 ila $300 Nabadsugid dalbansysa lacag Markad alaab dekeda kala soo baxdo isbaro suqa taalo askari kaa rabo $10 dhibka maya Allha naga qabto 1w Like Reply See translation 18,https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Bakool Yare Laftagreen Waa laso qabanayaa 1w Like Reply See translation 26,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Daahir Nuure Fiiqane Are the Men Named #beydhabey present? ar lafta gareena Bello kudegtey 1w Like Reply 2,https://www.facebook.com/MunasarMohamedAbd/posts/pfbid0hGL7UAzJrsKVmNhHoBTtrRxCo5kSjCPmNUz1djHx9rp37UmngdT8zhTYJ5HUyMXal,not crime-related,Unknown
Oh my god ! The worst attack in history was taken in Bakara market | What did you not know that is going on? Pass it on to you · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Oh my god ! The worst attack in history was taken in Bakara market | What did you not know that is going on? Pass it on to you,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Waawareey ! Duulaankii ugu xumaa taariikhda oo lagu qaadey Suuqa bakaaraha | Maxaadan ogeyn oo socda ? Sii gudbi,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
XXsk8orx4KD1XyGW7JIoUgyJrfnvt3yb97d7joNe,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
SHATI SANADLE AH $110 CASHUUR BILE AH $10 Merchant No $05 %100 Merchant 3bil $200 ila $300 Nabadsugid dalbansysa lacag Markad alaab dekeda kala soo baxdo isbaro suqa taalo askari kaa rabo $10 dhibka maya Allha naga qabto,https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Markad alaab dekeda kala soo baxdo isbaro suqa taalo askari kaa rabo $10 dhibka maya Allha naga qabto,https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Breaking news:- Xasan Sheikh ordered the end of Laftagareen | KG who wore strong defense. The biggest army tha… See more · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Breaking news:- Xasan Sheikh ordered the end of Laftagareen | KG who wore strong defense. The biggest army tha… See more,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Degdeg:- Xasan Sheikh oo amrey in la soo afjaro Laftagareen | KG oo difaac adag xiratey . Ciidankii ugu badnaa oo lagu daabulayo Buurhakaba | Maxaa cusub? Sii gudbi,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
South West has appointed chairman of the districts of Banadir. You will understand that our government is a jo… See more · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
South West has appointed chairman of the districts of Banadir. You will understand that our government is a jo… See more,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Koonfur Galbeed oo degmooyinka G/Banaadir u magacaawdey guddoomiyayaal. Waxaad fahmeysa in dowladnimadeenna dheeldheel tahay rajada laga qabana ay tahay mid liidata . Waa halkii uu Donald Trump dhigey ee ahayd “No functional government “,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Are the Men Named #beydhabey present? ar lafta gareena Bello kudegtey,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Amiira Amir 1:gabadha mxay ahan jirtay qof side ah ? 2: reerka ma jira qof hub hesta sida baskolad? 3:family ka bastolada lahelay ma aqonsaden mise hada aya ugu horeso? 4: majira guriga wax udhaw o camera ah? 5: hadaysan xabada waiifto ehen mala maqlay dhawaqa xabada? Allaha unaxariisto kiskan wax badan baa mugdi ku jiro 1w Like Reply See translation 154,https://www.facebook.com/MunasarMohamedAbd,crime-related,Unknown
Mariam Abdi Reer Tolkeey Bimaal jaad ma cunaan beh ywaye reerka kle 1w Like Reply See translation 16,https://www.facebook.com/MunasarMohamedAbd/posts/pfbid0KS9ZESbHLhdaakaM9bVeA5G6QDvaAoZrSd8K2JnNrqEsGBdueuHmQsJBx6x46iNWl,not crime-related,Unknown
"Hassan Amiin magaca Al-wahaab waa magac kamid ah magacyadda Rabbi, micnihiisu waa Allaha bixinta badan, wax bixintiisa ey badan tahay, Bara… See more 2w Like Reply See translation 38",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
Aamino Aadan Ahmed Hassan Amiin alwahaab 2w Like Reply,https://www.facebook.com/MunasarMohamedAbd,not crime-related,Unknown
"Surprising case: The doors were closed, and they were killed: The secret behind the Mogadishu disaster | Is it… See more · See original · Rate this translation",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Banaadir
"Surprising case: The doors were closed, and they were killed: The secret behind the Mogadishu disaster | Is it… See more",https://www.facebook.com/MunasarMohamedAbd,not crime-related,Banaadir
"Kiis yaab leh: Albaabadu waa xirnaayeen, haddana waa la dilay: Sirta ka dambaysa masiibadii Mogadishu | Ma qoyskeeda mise gacan ku dhiigle dibadda ka yimid?",https://www.facebook.com/MunasarMohamedAbd,crime-related,Banaadir
